,Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude,coordinates,Distance
184,Koyoi Restaurant & Bar,2 Irwin Avenue,Japanese,4.0,135,$$,2,43.6666786252858,-79.3854676187038,"43.6666786252858,-79.3854676187038",3865
185,Aviv Immigrant Kitchen,779 St. Clair Avenue W,Mediterranean,4.5,18,,0,43.68078,-79.42912,"43.68078,-79.42912",9136
186,Buca,604 King Street W,Italian,4.0,453,$$$,3,43.64462,-79.40045,"43.64462,-79.40045",1875
187,Vagabondo Restobar,310 Front Street W,Italian,4.0,29,,0,43.64402,-79.39078,"43.64402,-79.39078",1056
188,Good Luck Hongkong Cafe,5533 Yonge Street,Hong Kong Style Cafe,4.0,92,$$,2,43.77856,-79.41484,"43.77856,-79.41484",27326
189,Souk Tabule,494 Front Street E,Middle Eastern,4.5,121,$$,2,43.653832,-79.354442,"43.653832,-79.354442",3656
190,Bar Poet,1090 Queen Street W,Pizza,3.5,83,$$,2,43.643732,-79.4223358,"43.643732,-79.4223358",6146
191,Fuwa Fuwa Japanese Pancakes,408 Bloor Street W,Desserts,4.0,397,$$,2,43.6659512785201,-79.4078764691949,"43.6659512785201,-79.4078764691949",5903
192,Bob's Bulgogi,105 Victoria Street,Korean,4.0,84,$,1,43.652139,-79.377507,"43.652139,-79.377507",2104
193,Levetto,68 Sudbury Street,Italian,4.0,246,$$,2,43.64152,-79.4221,"43.64152,-79.4221",3886
194,Gyukatsu Kyoto Katsugyu,134 Dundas Street E,Japanese,4.0,146,$$,2,43.65687,-79.37616,"43.65687,-79.37616",3082
195,Memphis BBQ,8074 Islington Avenue,Barbeque,4.5,290,$$,2,43.789337,-79.587131,"43.789337,-79.587131",39348
196,Wilbur Mexicana,552 King Street W,Mexican,4.0,607,$$,2,43.64494,-79.39866,"43.64494,-79.39866",1479
197,El Charro,788 Broadview ave,Mexican,4.0,86,$,1,43.6771428,-79.3590065,"43.6771428,-79.3590065",9278
198,Martino's Pizza & Asian Fusion Kitchen,178 Dupont Street,Pizza,4.0,44,$$,2,43.675568,-79.4036442,"43.675568,-79.4036442",5885
199,Kintaro Izakaya,459 Church Street,Japanese,4.0,232,$$,2,43.66417,-79.38006,"43.66417,-79.38006",3677
200,The Backyard Smokehouse,264 Dupont Street,Barbeque,4.0,13,,0,43.675077870659926,-79.40676387729849,"43.675077870659926,-79.40676387729849",6145
201,Korean Village Restaurant,628 Bloor Street W,Korean,4.0,405,$$,2,43.66461,-79.41444,"43.66461,-79.41444",6452
202,Rasta Pasta,61 Kensington Avenue,Caribbean,4.0,364,$,1,43.6542328627147,-79.4004420356637,"43.6542328627147,-79.4004420356637",2391
203,Hanmoto,2 Lakeview Avenue,Japanese,4.0,227,$$,2,43.64962095248675,-79.42305491320673,"43.64962095248675,-79.42305491320673",7222
204,Hanamaru,862 Pape Avenue,Grocery,4.5,19,,0,43.6842559,-79.3471575,"43.6842559,-79.3471575",11053
205,Adrak,138 Avenue Road,Indian,3.5,10,,0,43.6744225790049,-79.39662899999999,"43.6744225790049,-79.39662899999999",5420
206,Churrasqueira Costa Verde BBQ Chicken,370 Oakwood Ave,Portuguese,3.5,33,$,1,43.68732,-79.43903,"43.68732,-79.43903",10606
207,Pearl Harbourfront Chinese Cuisine,207 Queens Quay W,Dim Sum,3.5,287,$$,2,43.63877,-79.3806,"43.63877,-79.3806",758
208,Té,70 Ossington Avenue,Asian Fusion,4.0,121,$$,2,43.64575,-79.41964,"43.64575,-79.41964",4058
209,The Innis Cafe,2 Sussex Avenue,Cafes,4.0,23,$,1,43.66556,-79.3995599,"43.66556,-79.3995599",5510
210,Tibet Kitchen,1544 Queen Street W,Himalayan/Nepalese,4.5,250,$$,2,43.640095,-79.439659,"43.640095,-79.439659",5481
211,Minami Toronto,225 King Street W,Japanese,4.0,81,,0,43.64670917505803,-79.3884829276101,"43.64670917505803,-79.3884829276101",1350
212,SugarKane,699 Danforth Avenue,Caribbean,4.5,32,,0,43.67892,-79.34361,"43.67892,-79.34361",10488
213,Yummy Korean Food Restaurant,620 Bloor Street W,Korean,4.0,270,$,1,43.66469,-79.4140199,"43.66469,-79.4140199",6417
214,Neon Tiger,14 Dupont Street,Chicken Wings,4.0,4,,0,43.67726,-79.39828,"43.67726,-79.39828",5807
215,The Olde Yorke,96 Laird Drive,Seafood,4.5,313,$$,2,43.70619,-79.36218,"43.70619,-79.36218",14543
216,Wynona,819 Gerrard Street E,Italian,4.5,57,,0,43.66706,-79.34454,"43.66706,-79.34454",6151
217,Reyna on King,354 King Street East,Tapas Bars,4.0,34,,0,43.65346,-79.36226,"43.65346,-79.36226",3071
218,Gaucho Pie,346 Westmoreland Ave N,Argentine,4.5,8,,0,43.6710432483332,-79.4347860664129,"43.6710432483332,-79.4347860664129",12464
219,Saigon PAI,446 Parliament Street,Thai,4.5,52,$$,2,43.663435,-79.367799,"43.663435,-79.367799",4178
220,Saigon Lotus,6 St Andrew Street,Vietnamese,4.5,208,$$,2,43.65449,-79.39928,"43.65449,-79.39928",2265
221,Papyrus,337 Danforth Avenue,Egyptian,4.5,42,$$,2,43.67709,-79.35324,"43.67709,-79.35324",9675
222,Ten,1132 College Street,Canadian (New),4.5,11,,0,43.65257,-79.43349,"43.65257,-79.43349",6908
223,Kaiseki Yu-zen Hashimoto,6 Garamond Court,Japanese,4.5,31,$$$$,4,43.72596,-79.33403,"43.72596,-79.33403",15384
224,When The Pig Came Home,384 Keele Street,Delicatessen,4.5,72,$$,2,43.6657595,-79.4648277,"43.6657595,-79.4648277",9279
225,Motorino Citta,466 Adelaide Street E,Italian,4.5,12,,0,43.6526748635606,-79.3663096055388,"43.6526748635606,-79.3663096055388",3274
226,Parallel,217 Geary Avenue,Mediterranean,4.0,92,$$,2,43.6694450818033,-79.4385803863406,"43.6694450818033,-79.4385803863406",11228
227,Frisaca,592 Queen Street W,Latin American,4.5,15,,0,43.64735,-79.40437,"43.64735,-79.40437",2656
