Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude
The Cliff House,3735 Capilano Road,Canadian (New),4.0,40,$$,2,49.3431216979992,-123.113923292065
Jo's Italian Deli,2505 Alma Street,Italian,3.5,23,,0,49.2642192,-123.1860777
Sizzling Wok,555 12th Avenue W,Chinese,4.5,4,$,1,49.26086,-123.11629
Jackalope's Neighbourhood Dive,2257 E Hastings Street,Dive Bars,4.5,121,$$,2,49.2812849,-123.0586541
Footo Croissant,858 Hamilton Street,Bakeries,4.0,119,$,1,49.2782338,-123.1165056
Harbour Oyster + Bar,1408 Commercial Drive,Cocktail Bars,4.0,69,$$,2,49.2718946138822,-123.069181591272
Blue Hat Bistro,101-1505 W 2nd Avenue,Bistros,3.5,83,$$,2,49.26986,-123.13792
JJ's Kitchen,1-5775 Marine Drive,Breakfast & Brunch,2.5,10,,0,49.35907268063095,-123.26708013002472
Van Tea Cafe,5688 Main Street,Cafes,3.5,52,$$,2,49.233265,-123.1013951
Antojos y Sabores,1605 West 5th Avenue,Mexican,4.5,7,,0,49.2673589,-123.1412788
Bombay Masala Indian Restaurant,4473 West 10th Avenue,Indian,4.5,15,,0,49.26407,-123.20835
Salade de Fruits Cafe,1551 West 7th Avenue,French,4.0,172,$$,2,49.2655161,-123.1401237
Donair Town Robson,1793 Robson Street,Donairs,4.5,78,$,1,49.2914429,-123.1351318
Dundas Eat + Drink,2077 Dundas Street,Vietnamese,4.5,70,$$,2,49.285084,-123.062273
Sushi Bar Shu,8099 Granville Street,Sushi Bars,4.5,56,$$$$,4,49.2124168,-123.1405762
Burgoo Bistro,3 Lonsdale Ave,Comfort Food,4.0,252,$$,2,49.31054,-123.0802329
Jjang Korean BBQ,115-5668 Hollybridge Way,Barbeque,4.0,8,,0,49.1737042,-123.1473941
The Bridge House Cafe,3650 Capilano Road,Sandwiches,4.5,15,$$,2,49.3427831727771,-123.114331220163
The Crab Shop,2455 Dollarton Highway,Seafood,3.5,58,$$,2,49.30595,-123.00878
Cafe Orso,4316 Gallant Avenue,Cafes,4.0,67,$$,2,49.3270437,-122.9515709
Masayoshi,4376 Fraser Street,Sushi Bars,3.5,106,$$$$,4,49.2458995,-123.0900077
Tamarind Hill Malaysian Cuisine,1440 Lonsdale Avenue,Malaysian,4.0,123,$$,2,49.3217,-123.07181
Sooda Korean BBQ,4455 Lougheed Highway,Korean,4.0,99,$$,2,49.2666661,-123.0044281
Brunch,1147 Granville Street,Breakfast & Brunch,4.5,25,,0,49.2778182,-123.1254634
Octopus Garden,1995 Cornwall Avenue,Japanese,4.0,150,$$$,3,49.2726349,-123.149816
